combo_key,combo_label,n_factors,ic_5d,ic_20d,ic_60d,tail_reversion_score,fear_n,greed_n,fear_excess_20d,greed_excess_20d,fear_win_rate,greed_win_rate,is_sharpe,oos_sharpe,sharpe_decay
move+curve+inflation+cand_copper_gold+cand_swap_spread+cand_sofr_ted_spread,波動度 (MOVE偏態) + 殖利率曲線 (10Y-2Y) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + 10Y Swap Spread + SOFR-3M利差,6,-0.025394593026013417,-0.004364272971563233,,44.310810810810814,111,4,-11.175969939789036,33.13484087102178,68.46846846846847,100.0,0.2495884496240098,-1.712014462599732,-6.8593497222278526
momentum+strength+inflation+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 通膨意外 (CPI-10YBE) + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,7,-0.03995092428685003,-0.03576604793510688,,41.22935779816517,109,1,9.405483072856637,50.6348408710218,36.69724770642202,100.0,-0.5252282640000498,-1.281678379950429,0.0
momentum+curve+cand_copper_gold+cand_swap_spread+cand_sofr_ted_spread,動能 (10Y-SMA125) + 殖利率曲線 (10Y-2Y) + 銅金比報酬差 + 10Y Swap Spread + SOFR-3M利差,5,0.017468053099607216,0.07475443156869234,,39.53182579564489,12,0,-39.53182579564489,0.0,91.66666666666666,0.0,0.35892378577712314,0.2518169903069784,0.7015890288846623
momentum+move+inflation+cand_credit_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + IG企業債利差 + SOFR-3M利差 + 1年通膨預期價差,6,-0.057370720341322914,-0.06604497958822264,,37.15909090909093,132,2,14.975749961930868,52.134840871021794,28.78787878787879,100.0,-1.378617053955902,-0.8981840065842289,0.0
momentum+move+inflation+cand_credit_spread+cand_inflation_1y,動能 (10Y-SMA125) + 波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + IG企業債利差 + 1年通膨預期價差,5,-0.05876362890163736,-0.08250574228550205,,37.15909090909093,132,2,14.975749961930868,52.134840871021794,28.78787878787879,100.0,-1.3083735849033122,-1.0724637916291826,0.0
momentum+move+inflation+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,6,-0.045755528780729464,-0.0755934742922346,,35.70652173913045,92,2,16.42831913189134,52.134840871021794,27.173913043478258,100.0,-1.2665394600754514,-1.4640465887577456,0.0
momentum+strength+move+inflation+cand_credit_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + IG企業債利差 + SOFR-3M利差 + 1年通膨預期價差,7,-0.04764632876152699,-0.04042631592514371,,35.67375886524825,141,1,14.96108200577355,50.6348408710218,28.368794326241137,100.0,-0.9731646677784921,-1.0606344687238947,0.0
momentum+strength+duration+inflation+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 存續期間避險 (TLT-SHY) + 通膨意外 (CPI-10YBE) + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,8,-0.05320446752557661,-0.06579924734430397,,35.6589147286822,129,3,12.309259475672938,47.96817420435514,29.457364341085274,100.0,-0.8767864788362458,-0.7602793900696745,0.0
momentum+curve+cand_copper_gold+cand_swap_spread,動能 (10Y-SMA125) + 殖利率曲線 (10Y-2Y) + 銅金比報酬差 + 10Y Swap Spread,4,-0.007913748101056618,0.021307924341483875,,32.068627450980394,12,51,-39.53182579564489,-7.463198344664499,91.66666666666666,35.294117647058826,0.3387558468834639,0.10293004464393585,0.30384728585760773
strength+move+curve+inflation+cand_copper_gold+cand_swap_spread+cand_sofr_ted_spread,強度 (NQ 52W區間) + 波動度 (MOVE偏態) + 殖利率曲線 (10Y-2Y) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + 10Y Swap Spread + SOFR-3M利差,7,-0.031419619167018804,-0.008906672261882296,,30.463030303030305,75,11,-2.1918257956448914,28.271204507385413,62.66666666666667,100.0,0.3754710886951384,-1.3761247464606137,-3.6650618060714395
